구분,공용분리 수거함,종량제 봉투,일반봉투 분리 배출,기타
남자,75.7,6.6,15.2,2.5
여자,68.6,7.6,20.1,3.6
15-19세,76.2,16.2,6.3,1.3
20-29세,80.2,10,9.4,0.3
30-39세,87,6.2,6.5,0.4
40-49세,80.5,6.4,11.7,1.3
50-59세,74.7,6,16.5,2.8
60세이상,61.2,6.8,26.3,5.7
무학,55.3,6.9,30,7.7
초등학교,58.7,7.8,27.3,6.2
중학교,70.5,5.6,20.2,3.6
고등학교,78.8,7.1,12.8,1.3
전문대,84,6.8,9,0.1
대학교,83.4,6.5,9.2,0.9
대학원,85.2,7.3,6.6,1
관리/전문가,86.3,4.2,8.4,1.1
사무종사자,85.9,6.3,7.5,0.3
판매종사자,77.1,10.2,12.2,0.5
기능/기타,66.2,6.5,22.6,4.7
비경제활동인구,71,6.8,18.7,3.5
미혼,78.2,10.3,10.4,1.1
기혼,76.2,5.8,15.5,2.5
사별,61,8.2,25,5.9
이혼,76.1,9.1,14.2,0.6
가구주,74,6.9,16.4,2.8
단독주택,54.5,9.1,30.2,6.2
아파트,92.4,3.5,3.8,0.3
연립주택,77.6,9.1,13.1,0.2
다세대주택,77.9,10.4,11.3,0.4
기타,63,10.9,25.2,0.9
1인가구,67.9,9.4,19.1,3.6
1세대가구,68.6,6.4,21,4
2세대가구,82.4,5.8,10.3,1.5
3세대가구,72.2,5.1,21.7,1.1
비혈연가구,80,6.5,13.5,0
