시점,구분,수도권,강원,충북,충남,전북,전남,경북,경남,데이터 기준일
2025-11-10,신문지,148.6,,112.4,121,127.5,127.5,134.4,130.6,2025-11-26
2025-11-10,골판지,100.2,85.3,89.3,80.7,88.8,85.3,95,86.8,2025-11-26
2025-11-10,압축-PE(잡색),390.5,363,365.2,401.5,,407,388.7,405.4,2025-11-26
2025-11-10,압축-PP(잡색),290.3,,266.2,295.2,,277.2,286,304.9,2025-11-26
2025-11-10,압축-PET(잡색),434.1,421.7,411.4,430.6,386.7,424.6,,465.3,2025-11-26
2025-11-10,플레이크-PE(잡색),583.1,575.7,585.8,608.1,585.8,592,595.2,555.7,2025-11-26
2025-11-10,플레이크-PP(잡색),463.9,443.7,441.8,432.1,437.8,440,476.9,465.1,2025-11-26
2025-11-10,플레이크-PS(잡색),,,,,,,,,2025-11-26
2025-11-10,플레이크-ABS(잡색),,,,,,,,,2025-11-26
2025-11-10,플레이크-PVC(잡색),557.3,,659.3,,,,,498.3,2025-11-26
2025-11-10,플레이크-PET(무색),1034.9,,,,,,925.5,,2025-11-26
2025-11-10,플레이크-PET(유색),458.9,,,,,,481.3,,2025-11-26
2025-11-10,플레이크-PET(복합),354,,,,,,432.7,,2025-11-26
2025-11-10,펠렛-PE(잡색),863.4,1001,,951.3,,,,839.7,2025-11-26
2025-11-10,펠렛-PP(잡색),736.1,,,724.3,836,759,649,645.9,2025-11-26
2025-11-10,펠렛-PS(잡색),,,,,,,,,2025-11-26
2025-11-10,펠렛-ABS(잡색),,,,,,,,,2025-11-26
2025-11-10,잉고트-EPS,525.6,479.6,550,594,,528,673.4,589.5,2025-11-26
2025-11-10,펠렛_EPS,857.5,,,,,,,,2025-11-26
2025-11-10,컬렛-백색,145.3,,,,,,,,2025-11-26
2025-11-10,컬렛-갈색,101,,,,,,,,2025-11-26
2025-11-10,컬렛-청·녹색,48.7,,,,,,,,2025-11-26
2025-11-10,철스크랩,,271.3,247,326.5,,306.3,,290.4,2025-11-26
2025-11-10,철캔,306.8,266.5,,314.4,,336.3,337.5,318.3,2025-11-26
2025-11-10,알루미늄캔,2667.2,2241.3,2823.3,2536.9,2728,2871,2761,2710.7,2025-11-26
2025-11-10,고무분말,,,,,,,,315.3,2025-11-26
